Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Daredevils,RR,Daredevils,14 runs,Bloemfontein,"May 17, 2009",Twenty20
Chargers,Kings XI,Kings XI,1 run,Johannesburg,"May 17, 2009",Twenty20
Chargers,KKR,Chargers,6 wickets,Johannesburg,"May 16, 2009",Twenty20
CSK,MI,CSK,7 wickets,Gqeberha,"May 16, 2009",Twenty20
Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,"May 15, 2009",Twenty20
MI,RR,RR,2 runs,Durban,"May 14, 2009",Twenty20
RCB,CSK,RCB,2 wickets,Durban,"May 14, 2009",Twenty20
Chargers,Daredevils,Daredevils,12 runs,Durban,"May 13, 2009",Twenty20
Kings XI,MI,MI,8 wickets,Centurion,"May 12, 2009",Twenty20
RCB,KKR,RCB,6 wickets,Centurion,"May 12, 2009",Twenty20
Chargers,RR,Chargers,53 runs,Kimberley,"May 11, 2009",Twenty20
Daredevils,KKR,Daredevils,7 wickets,Johannesburg,"May 10, 2009",Twenty20
RCB,MI,MI,16 runs,Gqeberha,"May 10, 2009",Twenty20
CSK,RR,CSK,7 wickets,Kimberley,"May 9, 2009",Twenty20
Chargers,Kings XI,Kings XI,3 wickets,Kimberley,"May 9, 2009",Twenty20
Daredevils,MI,Daredevils,7 wickets,East London,"May 8, 2009",Twenty20
CSK,Kings XI,CSK,12 runs,Centurion,"May 7, 2009",Twenty20
RCB,RR,RR,7 wickets,Centurion,"May 7, 2009",Twenty20
Chargers,MI,Chargers,19 runs,Centurion,"May 6, 2009",Twenty20
Daredevils,KKR,Daredevils,9 wickets,Durban,"May 5, 2009",Twenty20
Kings XI,RR,RR,78 runs,Durban,"May 5, 2009",Twenty20
CSK,Chargers,CSK,78 runs,East London,"May 4, 2009",Twenty20
RCB,MI,RCB,9 wickets,Johannesburg,"May 3, 2009",Twenty20
Kings XI,KKR,Kings XI,6 wickets,Gqeberha,"May 3, 2009",Twenty20
CSK,Daredevils,CSK,18 runs,Johannesburg,"May 2, 2009",Twenty20
Chargers,RR,RR,3 wickets,Gqeberha,"May 2, 2009",Twenty20
RCB,Kings XI,RCB,8 runs,Durban,"May 1, 2009",Twenty20
KKR,MI,MI,9 runs,East London,"May 1, 2009",Twenty20
CSK,RR,CSK,38 runs,Centurion,"Apr 30, 2009",Twenty20
Chargers,Daredevils,Daredevils,6 wickets,Centurion,"Apr 30, 2009",Twenty20
Kings XI,MI,Kings XI,3 runs,Durban,"Apr 29, 2009",Twenty20
RCB,KKR,RCB,5 wickets,Durban,"Apr 29, 2009",Twenty20
Daredevils,RR,RR,5 wickets,Centurion,"Apr 28, 2009",Twenty20
KKR,MI,MI,92 runs,Gqeberha,"Apr 27, 2009",Twenty20
CSK,Chargers,Chargers,6 wickets,Durban,"Apr 27, 2009",Twenty20
Kings XI,RR,Kings XI,27 runs,Cape Town,"Apr 26, 2009",Twenty20
RCB,Daredevils,Daredevils,6 wickets,Gqeberha,"Apr 26, 2009",Twenty20
Chargers,MI,Chargers,12 runs,Durban,"Apr 25, 2009",Twenty20
RCB,Kings XI,Kings XI,7 wickets,Durban,"Apr 24, 2009",Twenty20
KKR,RR,tied,-,Cape Town,"Apr 23, 2009",Twenty20
CSK,Daredevils,Daredevils,9 runs,Durban,"Apr 23, 2009",Twenty20
RCB,Chargers,Chargers,24 runs,Cape Town,"Apr 22, 2009",Twenty20
Kings XI,KKR,KKR,11 runs,Durban,"Apr 21, 2009",Twenty20
RCB,CSK,CSK,92 runs,Gqeberha,"Apr 20, 2009",Twenty20
Chargers,KKR,Chargers,8 wickets,Cape Town,"Apr 19, 2009",Twenty20
Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,"Apr 19, 2009",Twenty20
RCB,RR,RCB,75 runs,Cape Town,"Apr 18, 2009",Twenty20
CSK,MI,MI,19 runs,Cape Town,"Apr 18, 2009",Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
MI,CSK,CSK,22 runs,DY Patil,"Apr 25, 2010",Twenty20
Chargers,RCB,RCB,9 wickets,DY Patil,"Apr 24, 2010",Twenty20
CSK,Chargers,CSK,38 runs,DY Patil,"Apr 22, 2010",Twenty20
MI,RCB,MI,35 runs,DY Patil,"Apr 21, 2010",Twenty20
KKR,MI,KKR,9 wickets,Eden Gardens,"Apr 19, 2010",Twenty20
Daredevils,Chargers,Chargers,11 runs,Delhi,"Apr 18, 2010",Twenty20
Kings XI,CSK,CSK,6 wickets,Dharamsala,"Apr 18, 2010",Twenty20
KKR,RR,KKR,8 wickets,Eden Gardens,"Apr 17, 2010",Twenty20
RCB,MI,MI,57 runs,Bengaluru,"Apr 17, 2010",Twenty20
Kings XI,Chargers,Chargers,5 wickets,Dharamsala,"Apr 16, 2010",Twenty20
CSK,Daredevils,Daredevils,6 wickets,Chennai,"Apr 15, 2010",Twenty20
RR,RCB,RCB,5 wickets,Jaipur,"Apr 14, 2010",Twenty20
CSK,KKR,CSK,9 wickets,Chennai,"Apr 13, 2010",Twenty20
MI,Daredevils,MI,39 runs,Brabourne,"Apr 13, 2010",Twenty20
Chargers,RCB,Chargers,13 runs,Nagpur,"Apr 12, 2010",Twenty20
RR,MI,MI,37 runs,Jaipur,"Apr 11, 2010",Twenty20
Daredevils,Kings XI,Kings XI,7 wickets,Delhi,"Apr 11, 2010",Twenty20
RCB,KKR,RCB,7 wickets,Bengaluru,"Apr 10, 2010",Twenty20
Chargers,CSK,Chargers,6 wickets,Nagpur,"Apr 10, 2010",Twenty20
Kings XI,MI,Kings XI,6 wickets,Mohali,"Apr 9, 2010",Twenty20
RCB,Chargers,Chargers,7 wickets,Bengaluru,"Apr 8, 2010",Twenty20
KKR,Daredevils,KKR,14 runs,Eden Gardens,"Apr 7, 2010",Twenty20
RR,Kings XI,RR,9 wickets,Jaipur,"Apr 7, 2010",Twenty20
CSK,MI,CSK,24 runs,Chennai,"Apr 6, 2010",Twenty20
Chargers,RR,RR,2 runs,Nagpur,"Apr 5, 2010",Twenty20
Daredevils,RCB,Daredevils,37 runs,Delhi,"Apr 4, 2010",Twenty20
KKR,Kings XI,Kings XI,8 wickets,Eden Gardens,"Apr 4, 2010",Twenty20
MI,Chargers,MI,63 runs,Brabourne,"Apr 3, 2010",Twenty20
CSK,RR,CSK,23 runs,Chennai,"Apr 3, 2010",Twenty20
Kings XI,RCB,RCB,6 wickets,Mohali,"Apr 2, 2010",Twenty20
KKR,Chargers,KKR,24 runs,Eden Gardens,"Apr 1, 2010",Twenty20
Daredevils,RR,Daredevils,67 runs,Delhi,"Mar 31, 2010",Twenty20
CSK,RCB,CSK,5 wickets,Chennai,"Mar 31, 2010",Twenty20
MI,Kings XI,MI,4 wickets,Brabourne,"Mar 30, 2010",Twenty20
Daredevils,KKR,Daredevils,40 runs,Delhi,"Mar 29, 2010",Twenty20
Chargers,MI,MI,41 runs,DY Patil,"Mar 28, 2010",Twenty20
RR,CSK,RR,17 runs,Ahmedabad,"Mar 28, 2010",Twenty20
Kings XI,KKR,KKR,39 runs,Mohali,"Mar 27, 2010",Twenty20
RR,Chargers,RR,8 wickets,Ahmedabad,"Mar 26, 2010",Twenty20
MI,CSK,MI,5 wickets,Brabourne,"Mar 25, 2010",Twenty20
RCB,Daredevils,Daredevils,17 runs,Bengaluru,"Mar 25, 2010",Twenty20
Kings XI,RR,RR,31 runs,Mohali,"Mar 24, 2010",Twenty20
RCB,CSK,RCB,36 runs,Bengaluru,"Mar 23, 2010",Twenty20
MI,KKR,MI,7 wickets,Brabourne,"Mar 22, 2010",Twenty20
CSK,Kings XI,tied,-,Chennai,"Mar 21, 2010",Twenty20
Chargers,Daredevils,Chargers,10 runs,Cuttack,"Mar 21, 2010",Twenty20
MI,RCB,RCB,7 wickets,Brabourne,"Mar 20, 2010",Twenty20
RR,KKR,RR,34 runs,Ahmedabad,"Mar 20, 2010",Twenty20
Chargers,Kings XI,Chargers,6 runs,Cuttack,"Mar 19, 2010",Twenty20
Daredevils,CSK,CSK,5 wickets,Delhi,"Mar 19, 2010",Twenty20
RCB,RR,RCB,10 wickets,Bengaluru,"Mar 18, 2010",Twenty20
Daredevils,MI,MI,98 runs,Delhi,"Mar 17, 2010",Twenty20
KKR,CSK,CSK,55 runs,Eden Gardens,"Mar 16, 2010",Twenty20
RCB,Kings XI,RCB,8 wickets,Bengaluru,"Mar 16, 2010",Twenty20
RR,Daredevils,Daredevils,6 wickets,Ahmedabad,"Mar 15, 2010",Twenty20
CSK,Chargers,Chargers,31 runs,Chennai,"Mar 14, 2010",Twenty20
KKR,RCB,KKR,7 wickets,Eden Gardens,"Mar 14, 2010",Twenty20
Kings XI,Daredevils,Daredevils,5 wickets,Mohali,"Mar 13, 2010",Twenty20
MI,RR,MI,4 runs,Brabourne,"Mar 13, 2010",Twenty20
Chargers,KKR,KKR,11 runs,DY Patil,"Mar 12, 2010",Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
CSK,RCB,CSK,58 runs,Chennai,"May 28, 2011",Twenty20
MI,RCB,RCB,43 runs,Chennai,"May 27, 2011",Twenty20
MI,KKR,MI,4 wickets,Wankhede,"May 25, 2011",Twenty20
CSK,RCB,CSK,6 wickets,Wankhede,"May 24, 2011",Twenty20
KKR,MI,MI,5 wickets,Eden Gardens,"May 22, 2011",Twenty20
RCB,CSK,RCB,8 wickets,Bengaluru,"May 22, 2011",Twenty20
Daredevils,Warriors,no result,-,Delhi,"May 21, 2011",Twenty20
Kings XI,Chargers,Chargers,82 runs,Dharamsala,"May 21, 2011",Twenty20
MI,RR,RR,10 wickets,Wankhede,"May 20, 2011",Twenty20
Warriors,KKR,KKR,7 wickets,DY Patil,"May 19, 2011",Twenty20
CSK,Kochi,CSK,11 runs,Chennai,"May 18, 2011",Twenty20
Kings XI,RCB,Kings XI,111 runs,Dharamsala,"May 17, 2011",Twenty20
Warriors,Chargers,Chargers,6 wickets,DY Patil,"May 16, 2011",Twenty20
Kochi,RR,Kochi,8 wickets,Indore,"May 15, 2011",Twenty20
Kings XI,Daredevils,Kings XI,29 runs,Dharamsala,"May 15, 2011",Twenty20
MI,Chargers,Chargers,10 runs,Wankhede,"May 14, 2011",Twenty20
RCB,KKR,RCB,4 wickets,Bengaluru,"May 14, 2011",Twenty20
Kochi,Kings XI,Kings XI,6 wickets,Indore,"May 13, 2011",Twenty20
CSK,Daredevils,CSK,18 runs,Chennai,"May 12, 2011",Twenty20
RR,RCB,RCB,9 wickets,Jaipur,"May 11, 2011",Twenty20
Kings XI,MI,Kings XI,76 runs,Mohali,"May 10, 2011",Twenty20
Chargers,Warriors,Warriors,6 wickets,Hyderabad,"May 10, 2011",Twenty20
RR,CSK,CSK,63 runs,Jaipur,"May 9, 2011",Twenty20
Kings XI,Warriors,Warriors,5 wickets,Mohali,"May 8, 2011",Twenty20
RCB,Kochi,RCB,9 wickets,Bengaluru,"May 8, 2011",Twenty20
MI,Daredevils,MI,32 runs,Wankhede,"May 7, 2011",Twenty20
KKR,CSK,KKR,10 runs,Eden Gardens,"May 7, 2011",Twenty20
RCB,Kings XI,RCB,85 runs,Bengaluru,"May 6, 2011",Twenty20
Chargers,Daredevils,Daredevils,4 wickets,Hyderabad,"May 5, 2011",Twenty20
Kochi,KKR,Kochi,17 runs,Kochi,"May 5, 2011",Twenty20
Warriors,MI,MI,21 runs,DY Patil,"May 4, 2011",Twenty20
CSK,RR,CSK,8 wickets,Chennai,"May 4, 2011",Twenty20
Chargers,KKR,KKR,20 runs,Hyderabad,"May 3, 2011",Twenty20
Daredevils,Kochi,Kochi,7 wickets,Delhi,"May 2, 2011",Twenty20
MI,Kings XI,MI,23 runs,Wankhede,"May 2, 2011",Twenty20
CSK,Chargers,CSK,19 runs,Chennai,"May 1, 2011",Twenty20
RR,Warriors,RR,6 wickets,Jaipur,"May 1, 2011",Twenty20
KKR,Kings XI,KKR,8 wickets,Eden Gardens,"Apr 30, 2011",Twenty20
Kochi,Daredevils,Daredevils,38 runs,Kochi,"Apr 30, 2011",Twenty20
